Date,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
2017-12-31,0.8561,0.6428,1.9705,13.3587,-18.1862,-18.1863,0.0,-23.7151,-20.555,0.1148,1.2587,6.3807,14.105,-14.7333,-16.0244,-2.6914,-5.2633,6.2022,0.6086,-0.364
2018-03-31,0.738,0.6225,2.0249,13.3928,-17.513,-17.513,0.0,-22.8536,-20.8156,0.125,1.1506,5.2214,17.2369,-14.7637,-15.9904,-2.8771,-5.5733,6.2616,-0.471,-1.2463
2018-06-30,0.7329,0.668,2.4572,15.4646,-15.5261,-15.5261,0.0,-18.2148,-17.9285,0.1434,1.0176,7.023,12.815,-15.7101,-17.0233,-2.6611,-5.2153,5.545,-0.1502,-0.8638
2018-09-30,0.8103,0.6459,2.2215,22.3329,6.0961,6.0961,0.0,3.9713,4.5574,0.2332,1.5992,5.9082,15.233,4.7904,5.1359,0.868,1.6962,6.1806,1.5909,1.0843
2018-12-31,0.8313,0.6203,2.0796,19.9632,5.7344,5.7344,0.0,3.2109,1.9387,0.243,1.8578,7.6144,11.8198,3.6535,3.89,0.7072,1.3873,6.6555,1.4899,1.0223
2019-03-31,0.8307,0.6416,2.1021,12.4642,-11.4953,-11.4953,0.0,-14.2039,-15.6353,0.1571,1.036,4.3374,20.7499,-12.2174,-13.0475,-2.3104,-4.3787,6.2961,-0.7399,-1.0636
2019-06-30,1.0619,0.631,1.9825,14.5039,-2.6299,-2.6299,0.0,-5.8268,-6.4252,0.1992,1.6051,5.5357,16.2581,-5.9206,-6.3881,-1.2205,-2.1848,7.3362,0.993,0.7178
2019-09-30,1.0783,0.6218,1.9388,18.8958,4.1409,4.1409,0.0,2.7923,2.2688,0.1922,1.4275,5.5878,16.1066,2.1796,2.3641,0.4574,0.8244,7.6467,0.8098,0.4163
2019-12-31,1.1346,0.6091,1.7971,18.838,4.8619,4.8619,0.0,2.3564,1.5303,0.2152,1.6872,5.577,16.1376,1.7678,1.9048,0.3847,0.6911,8.2508,1.6485,1.1448
2020-03-31,1.2425,0.5165,1.3887,20.6182,4.7285,4.7285,0.0,1.1696,0.2673,0.1607,1.0572,4.6978,19.1579,0.6773,0.714,0.1826,0.3275,10.8541,-0.4427,-0.9004
2020-06-30,1.2499,0.4938,1.3184,20.9907,5.4175,5.4175,0.0,2.4851,1.723,0.1583,1.1869,4.0646,22.1422,1.2029,1.2627,0.3383,0.609,11.5312,0.9485,0.44
2020-09-30,1.6346,0.3857,0.813,23.5207,9.2236,9.2236,0.0,6.3277,3.4204,0.192,1.5903,4.992,18.0287,2.1845,2.254,0.8076,1.3419,17.8186,2.1404,1.2912
2020-12-31,1.8751,0.294,0.5087,19.2293,5.3518,5.3518,0.0,3.5276,2.8016,0.206,2.1161,5.6967,15.7986,1.2828,1.3123,0.5676,0.9057,24.0365,2.8413,1.7417
2021-03-31,1.6606,0.275,0.4556,21.3206,5.7176,5.7176,0.0,5.1304,4.216,0.1961,1.9782,5.4968,16.3731,1.9444,1.9864,0.8759,1.4096,24.7809,1.4484,-0.8252
2021-06-30,1.5083,0.2348,0.3666,24.1178,10.9717,10.9717,0.0,10.8129,9.5501,0.2168,1.9172,5.6167,16.0236,4.5935,4.6822,2.1361,3.5147,26.062,1.9162,0.5428
2021-09-30,1.3851,0.1875,0.2924,26.6046,14.5671,14.5671,0.0,13.6803,11.7613,0.2379,1.9421,7.0117,12.8357,5.9486,6.0505,2.8686,4.8329,27.7779,2.7903,1.1836
2021-12-31,1.3753,0.1446,0.2203,27.3548,14.7469,14.7469,0.0,14.871,13.0989,0.2852,2.2359,9.2624,9.7167,7.5544,7.6674,3.7711,6.4617,30.0242,4.0285,2.4531
2022-03-31,1.354,0.0828,0.1377,29.1107,19.2099,19.2099,0.0,19.3325,17.6903,0.284,1.9871,8.116,11.0893,9.3856,9.5092,4.9668,8.6089,33.7326,3.4529,1.9257
