Date,Cash On Hand,Receivables,Inventory,Pre-Paid Expenses,Other Current Assets,Total Current Assets,"Property, Plant, And Equipment",Long-Term Investments,Goodwill And Intangible Assets,Other Long-Term Assets,Total Long-Term Assets,Total Assets,Total Current Liabilities,Long Term Debt,Other Non-Current Liabilities,Total Long Term Liabilities,Total Liabilities,Common Stock Net,Retained Earnings (Accumulated Deficit),Comprehensive Income,Other Share Holders Equity,Share Holder Equity,Total Liabilities And Share Holders Equity
2013-03-31,1697.7,520.0,1124.5,256.7,0.0,3810.2,2845.3,468.9,863.6,514.8,4692.6,8502.8,2269.7,549.6,356.0,905.6,3175.3,0.7,5298.6,-17.3,0.0,5327.5,8502.8
2013-06-30,2044.3,506.8,1173.8,302.0,0.0,4239.7,2987.1,488.9,860.9,485.8,4822.7,9062.4,2424.4,549.7,340.7,890.4,3314.8,0.8,5558.5,14.5,0.0,5747.6,9062.4
2013-09-30,3233.8,561.4,1111.2,287.7,0.0,5471.4,3200.5,554.8,1137.7,185.3,6045.3,11516.7,5377.3,1299.4,357.7,1657.1,7034.4,0.8,4130.3,67.0,0.0,4482.3,11516.7
2013-12-31,1702.8,589.8,943.3,271.1,0.0,3759.4,3233.0,969.3,1138.7,205.8,6495.8,10255.2,2953.0,2047.9,364.8,2412.7,5365.7,0.8,4474.2,68.7,0.0,4889.5,10255.2
2014-03-31,1489.5,590.0,954.7,286.1,0.0,3579.0,3278.1,962.6,1138.0,195.9,6518.0,10097.0,2733.5,2048.0,368.4,2416.4,5149.9,0.8,4705.4,64.3,0.0,4947.1,10097.0
2014-06-30,1196.3,580.9,1025.8,289.4,0.0,3356.9,3373.7,1374.2,1140.4,193.0,7028.4,10385.3,2883.9,2048.1,382.5,2430.6,5314.5,0.8,4957.7,70.9,0.0,5070.8,10385.3
2014-09-30,1843.8,631.0,1090.9,285.6,0.0,4168.7,3519.0,833.3,1129.7,198.9,6584.2,10752.9,3038.7,2048.3,392.2,2440.5,5479.2,0.7,5206.6,25.3,0.0,5273.7,10752.9
2014-12-31,1953.1,664.9,1018.3,600.5,0.0,4546.1,3822.3,628.4,2140.4,382.2,7805.0,12351.1,3557.5,2048.4,587.4,2635.8,6193.3,0.8,5832.2,-97.0,0.0,6157.8,12351.1
2015-03-31,1849.8,655.6,1061.1,355.1,0.0,4245.4,3897.7,662.1,2139.2,395.2,7945.3,12190.7,3521.2,2048.5,610.3,2658.8,6180.0,1.5,6083.0,-116.9,0.0,6010.7,12190.7
2015-06-30,2175.2,672.7,1166.0,413.8,0.0,4760.7,3977.7,749.5,2086.4,443.3,8108.1,12868.8,4049.2,2347.4,613.9,2961.3,7010.5,1.5,5945.0,-131.1,0.0,5858.3,12868.8
2015-09-30,1611.4,719.0,1306.4,334.2,0.0,3971.0,4088.3,664.5,2095.8,415.9,8445.3,12416.3,3648.1,2347.5,600.9,2948.4,6596.5,1.5,5974.8,-199.4,0.0,5819.8,12416.3
2015-12-31,2379.9,764.4,1242.6,340.8,0.0,4727.7,4122.5,656.5,2081.4,416.9,8215.801,12943.5,4420.1,1947.9,592.1,2540.0,6960.1,1.5,6164.0,-225.1,0.0,5983.4,12943.5
2016-03-31,1417.6,743.7,1293.1,429.1,0.0,3883.5,4246.9,937.4,2140.2,401.2,8635.9,12519.4,4351.2,2447.6,624.2,3071.8,7423.0,1.5,5241.2,-189.2,0.0,5096.4,12519.4
