Date,Current Ratio,Long-term Debt / Capital,Debt/Equity Ratio,Gross Margin,Operating Margin,EBIT Margin,EBITDA Margin,Pre-Tax Profit Margin,Net Profit Margin,Asset Turnover,Inventory Turnover Ratio,Receiveable Turnover,Days Sales In Receivables,ROE - Return On Equity,Return On Tangible Equity,ROA - Return On Assets,ROI - Return On Investment,Book Value Per Share,Operating Cash Flow Per Share,Free Cash Flow Per Share
2012-09-30,1.3922,0.3582,0.558,26.7875,1.7827,1.7827,0.0,1.3199,0.848,0.2376,0.0,0.0,0.0,1.0707,1.0707,0.2015,0.6872,1.8436,-0.007,-0.0333
2012-12-31,1.337,0.3494,0.5371,23.611,2.0776,2.0776,0.0,1.5767,0.8355,0.2382,0.0,0.0,0.0,1.0605,1.0605,0.199,0.6899,1.9138,-0.0342,-0.0858
2013-03-31,1.5142,0.4627,0.8611,28.0293,3.1077,3.1077,0.0,0.0908,0.2626,0.2347,0.0,0.0,0.0,0.3308,0.3308,0.0616,0.1777,2.0685,-0.0291,-0.0579
2013-06-30,1.5389,0.3114,0.4522,28.8672,5.3412,5.3412,0.0,4.3623,2.7559,0.2387,0.0,0.0,0.0,2.6656,2.6656,0.6577,1.8355,2.6806,0.0802,0.0614
2013-09-30,1.4724,0.2934,0.4152,27.7667,5.1646,5.1646,0.0,4.4748,2.8772,0.2257,0.0,0.0,0.0,2.6422,2.6422,0.6493,1.8671,2.9035,0.081,0.0559
2013-12-31,1.4199,0.2727,0.3749,30.1688,7.0019,7.0019,0.0,6.297,4.1201,0.2171,0.0,0.0,0.0,3.631,3.631,0.8946,2.6408,3.1961,0.0979,0.0433
2014-03-31,1.5845,0.3784,0.6088,31.565,7.6841,7.6841,0.0,7.003,4.182,0.21,0.0,0.0,0.0,3.5928,3.5928,0.8782,2.2333,3.5234,0.0844,0.0534
2014-06-30,1.571,0.3586,0.5591,31.7485,9.6687,9.6687,0.0,8.7564,5.2982,0.2119,0.0,0.0,0.0,4.4119,4.4119,1.1227,2.8297,3.8268,0.1297,0.0838
2014-09-30,1.5002,0.3429,0.5218,32.2852,7.8334,7.8334,0.0,6.9203,4.207,0.2079,0.0,0.0,0.0,3.4376,3.4376,0.8748,2.259,4.0901,-0.0871,-0.1356
2014-12-31,1.4746,0.3229,0.4769,31.6823,4.381,4.381,0.0,3.0656,5.6152,0.2108,0.0,0.0,0.0,4.4878,4.4878,1.1838,3.0388,4.3927,-0.0888,-0.1249
2015-03-31,1.8409,0.5569,1.2571,33.4828,6.195,6.195,0.0,2.4426,1.5063,0.1702,0.0,0.0,0.0,1.2411,1.2411,0.2564,0.5499,4.4992,-0.2936,-0.3237
2015-06-30,1.7393,0.5415,1.1811,31.7957,4.5501,4.5501,0.0,2.4619,1.6012,0.1703,0.0,0.0,0.0,1.296,1.296,0.2728,0.5942,4.7701,-0.4143,-0.4773
2015-09-30,1.6669,0.5255,1.1074,32.4673,4.2362,4.2362,0.0,2.4298,1.6931,0.1753,0.0,0.0,0.0,1.358,1.358,0.2968,0.6444,5.0711,-0.4454,-0.5315
2015-12-31,1.5389,0.5161,1.0665,31.479,3.2849,3.2849,0.0,1.137,2.3681,0.1787,0.0,0.0,0.0,1.942,1.942,0.4232,0.9397,5.1956,-0.5638,-0.5937
2016-03-31,1.4093,0.5059,1.0237,30.0447,2.526,2.526,0.0,2.037,1.4128,0.1738,0.0,0.0,0.0,1.1936,1.1936,0.2456,0.5898,5.4104,-0.5219,-0.5411
2016-06-30,1.3295,0.4955,0.9823,30.0259,3.3427,3.3427,0.0,2.4336,1.9359,0.1816,0.0,0.0,0.0,1.687,1.687,0.3515,0.851,5.6349,-0.5163,-0.541
2016-09-30,1.1774,0.4842,0.9387,33.0691,4.63,4.63,0.0,3.455,2.2495,0.1855,0.0,0.0,0.0,2.0371,2.0371,0.4172,1.0507,5.893,-1.0531,-1.1156
2016-12-31,1.2472,0.5566,1.2554,24.0384,6.2132,6.2132,0.0,3.6435,2.6941,0.1824,0.0,0.0,0.0,2.4908,2.4908,0.4913,1.1043,6.2313,-1.269,-1.408
2017-03-31,1.1525,0.5309,1.1317,37.1538,9.7451,9.7451,0.0,8.4878,6.7594,0.1836,0.0,0.0,0.0,5.9933,5.9933,1.2412,2.8115,6.8996,-0.7719,-0.8898
2017-06-30,1.308,0.6084,1.5539,31.7059,4.5884,4.5884,0.0,0.5012,2.3551,0.1686,0.0,0.0,0.0,2.1076,2.1076,0.3972,0.8253,7.209,-1.1964,-1.3424
2017-09-30,1.2024,0.595,1.4693,33.2304,6.9895,6.9895,0.0,3.8942,4.3416,0.1761,0.0,0.0,0.0,3.8947,3.8947,0.7645,1.5773,7.6892,-0.9331,-1.0084
2017-12-31,1.4031,0.6447,1.8145,24.5017,7.4656,7.4657,0.0,3.997,5.6461,0.1728,0.0,0.0,0.0,5.1792,5.1792,0.9758,1.8402,8.2649,-1.0957,-1.1443
2018-03-31,1.3017,0.6194,1.6272,37.8366,12.0669,12.0669,0.0,8.0959,7.8394,0.1836,0.0,0.0,0.0,7.2157,7.2157,1.4396,2.7466,9.2504,-0.5257,-0.6082
2018-06-30,1.5374,0.6498,1.8552,38.5138,11.8296,11.8296,0.0,10.9702,9.8368,0.1724,0.0,0.0,0.0,8.5475,8.5475,1.6959,2.9937,10.3261,-1.1463,-1.2066
2018-09-30,1.3861,0.6246,1.6641,36.7119,12.0186,12.0186,0.0,9.4717,10.0725,0.1712,0.0,0.0,0.0,8.0412,8.0412,1.724,3.0183,11.4878,-1.5264,-1.6133
2018-12-31,1.4943,0.6642,1.9776,34.7145,5.1535,5.1535,0.0,2.8517,3.1989,0.1612,0.0,0.0,0.0,2.5566,2.5566,0.5156,0.8586,11.999,-2.7418,-2.8976
2019-03-31,0.6079,0.6437,1.8069,36.5048,10.1545,10.1545,0.0,8.8401,7.6101,0.1661,0.0,0.0,0.0,6.0328,6.0328,1.264,2.1492,13.0448,-0.8404,-0.974
2019-06-30,0.8476,0.6735,2.0627,38.9481,14.349,14.349,0.0,10.1748,5.4975,0.1632,0.0,0.0,0.0,4.4329,4.4329,0.897,1.4474,13.9449,-1.202,-1.2894
2019-09-30,0.7341,0.6442,1.8109,40.9347,18.6894,18.6894,0.0,19.3011,12.6836,0.1695,0.0,0.0,0.0,9.6953,9.6953,2.15,3.4491,15.6566,-1.1142,-1.2149
2019-12-31,0.9012,0.6606,1.9466,36.6061,8.3863,8.3862,0.0,2.7313,10.7358,0.1609,0.0,0.0,0.0,7.7415,7.7415,1.7276,2.6273,17.279,-3.2346,-3.473
2020-03-31,0.821,0.6276,1.7444,37.5885,16.6142,16.6142,0.0,13.7988,12.2938,0.1645,0.0,0.0,0.0,8.4319,8.4319,2.0224,3.1402,19.1216,0.5744,0.3578
2020-06-30,1.123,0.621,1.692,40.7362,22.0863,22.0863,0.0,16.8438,11.7138,0.1654,0.0,0.0,0.0,7.7152,7.7152,1.9373,2.9241,21.1665,2.2916,1.98
2020-09-30,1.2376,0.6007,1.553,39.901,20.431,20.431,0.0,13.3858,12.275,0.1666,0.0,0.0,0.0,7.6449,7.6449,2.0454,3.0523,23.3894,2.7697,2.5298
2020-12-31,1.2506,0.5883,1.4739,37.3137,14.3615,14.3615,0.0,7.6217,8.1595,0.1692,0.0,0.0,0.0,4.8996,4.8996,1.3802,2.0174,24.9839,-0.2922,-0.6203
2021-03-31,1.2695,0.5356,1.2076,45.9953,27.3598,27.3598,0.0,28.4018,23.8259,0.1785,0.0,0.0,0.0,13.2467,13.2467,4.2537,6.1515,29.0585,1.7059,1.5281
2021-06-30,1.2261,0.5185,1.1271,45.272,25.166,25.166,0.0,21.7085,18.429,0.1792,0.0,0.0,0.0,9.7593,9.7593,3.3024,4.6995,31.324,-0.1382,-0.3807
2021-09-30,1.1698,0.4913,1.0117,43.7882,23.4551,23.4551,0.0,22.1951,19.3636,0.1751,0.0,0.0,0.0,9.462,9.462,3.3904,4.8129,34.574,0.1818,-0.1862
2021-12-31,0.9506,0.4811,0.9712,32.0358,8.1949,8.1949,0.0,7.1453,7.8792,0.1729,0.0,0.0,0.0,3.8325,3.8325,1.3624,1.9888,35.6995,-0.8873,-1.251
2022-03-31,1.0463,0.4531,0.8285,45.541,25.0595,25.0595,0.0,25.1621,20.3037,0.1736,0.0,0.0,0.0,9.1054,9.1054,3.524,4.9798,39.4892,2.0372,1.7698
